Image_Name,Mean_Intensity,Std_Intensity,Sobel_Magnitude,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7,Hist_Bin_1,Hist_Bin_2,Hist_Bin_3,Hist_Bin_4,Hist_Bin_5,Hist_Bin_6,Hist_Bin_7,Hist_Bin_8,Hist_Bin_9,Hist_Bin_10,lable
fall-01-cam0-rgb_MHI.png,27.56526693,57.42157733,139.60886,0.001506966,1.96E-07,2.22E-09,6.13E-10,6.73E-19,2.62E-13,2.42E-19,235499,8426,12322,13875,11821,8971,3829,2497,5251,4709,1
fall-02-cam0-rgb_MHI.png,23.20121094,51.30168769,162.0167815,0.001846424,1.04E-06,4.35E-10,1.86E-10,-5.09E-20,1.54E-13,-1.42E-20,243110,17565,3453,9988,8221,11761,5050,2541,3387,2124,1
fall-03-cam0-rgb_MHI.png,64.06669271,76.77536068,247.740766,0.001408406,3.72E-07,7.13E-11,8.51E-11,5.32E-21,5.17E-14,-3.95E-21,164160,1899,8361,32738,24251,32410,13829,8703,10686,10163,1
fall-04-cam0-rgb_MHI.png,12.66962891,40.58233748,144.7832056,0.002417313,3.25E-06,1.21E-09,2.72E-10,1.06E-19,4.29E-13,-1.15E-19,273756,6125,6204,5183,3377,3337,4133,1742,1347,1996,1
fall-05-cam0-rgb_MHI.png,31.14539063,66.46050025,140.3201885,0.00118002,1.07E-07,1.01E-09,2.66E-10,1.38E-19,8.70E-14,3.00E-21,238650,5667,8608,13181,10016,2509,2423,10838,5706,9602,1
fall-06-cam0-rgb_MHI.png,8.595455729,29.91038573,100.5921235,0.00200794,5.55E-07,1.22E-09,4.82E-11,6.87E-21,-1.92E-14,-9.45E-21,280165,2446,6383,9136,5149,1029,835,1361,615,81,1
fall-07-cam0-rgb_MHI.png,40.05242188,75.13796555,257.4804715,0.001221208,2.02E-08,6.87E-10,1.57E-10,4.37E-20,7.77E-15,-2.74E-20,226579,4103,12406,7618,5399,5404,15054,10969,5399,14269,1
fall-08-cam0-rgb_MHI.png,26.19181641,63.95650426,210.6380396,0.001465118,1.08E-06,1.14E-10,1.14E-10,1.21E-20,1.18E-13,4.87E-21,257758,5388,926,3904,4672,5511,5126,9210,8716,5989,1
fall-09-cam0-rgb_MHI.png,43.70310547,76.87184003,281.1385961,0.001334952,5.16E-07,1.36E-09,2.29E-10,8.11E-20,1.69E-14,9.86E-20,223987,3005,2480,7512,16053,7395,12203,10565,15347,8653,1
fall-10-cam0-rgb_MHI.png,10.58794271,32.56940127,137.7309808,0.003347953,6.26E-06,2.19E-09,3.49E-12,1.27E-22,-7.18E-15,-2.77E-22,271159,8471,8659,10086,3384,1571,1397,733,925,815,1
